elements*1000,avg comparisons
1,11430
2,24529
3,40147
4,54986
5,72348
6,87999
7,104611
8,123980
9,136145
10,158055
11,172238
12,191215
13,211079
14,228597
15,245995
16,257859
17,283191
18,307848
19,321776
20,339769
21,352861
22,372275
23,386767
24,413901
25,447064
26,458633
27,478081
28,492943
29,518718
30,539280
31,539290
32,568343
33,591157
34,606641
35,620540
36,653957
37,679989
38,682200
39,702516
40,738124
41,753230
42,764922
43,795175
44,808664
45,829195
46,848971
47,876779
48,910607
49,920290
50,954431
51,961796
52,984484
53,987474
54,1017877
55,1034538
56,1062080
57,1084167
58,1114649
59,1134058
60,1148546
61,1172156
62,1190618
63,1201846
64,1233028
65,1243710
66,1278753
67,1276616
68,1335999
69,1328206
70,1388988
71,1365544
72,1405342
73,1436027
74,1449988
75,1457519
76,1494145
77,1529844
78,1523142
79,1569150
80,1616466
81,1595385
82,1623931
83,1663912
84,1704374
85,1714593
86,1724088
87,1728264
88,1747548
89,1788680
90,1800865
91,1820634
92,1850224
93,1874087
94,1889219
95,1906914
96,1962218
97,1966245
98,1965214
99,1994868
100,2019252
101,2032907
102,2100079
103,2104416
104,2085594
105,2127525
106,2180923
107,2196838
108,2163691
109,2226218
110,2285650
111,2283328
112,2269405
113,2323700
114,2341550
115,2383715
116,2339627
117,2376618
118,2417869
119,2433913
120,2503068
121,2481145
122,2511978
123,2490583
124,2560672
125,2582759
126,2551407
127,2636561
128,2613653
129,2653304
130,2678776
131,2708680
132,2721881
133,2772823
134,2790359
135,2770620
136,2787283
137,2858950
138,2889340
139,2919755
140,2961962
141,2978469
142,2941094
143,2994610
144,3016115
145,3032484
146,2998471
147,3072054
148,3163681
149,3122375
150,3144976
151,3201097
152,3174813
153,3200799
154,3249749
155,3266030
156,3318748
157,3311201
158,3377651
159,3496671
160,3396531
161,3439420
162,3498143
163,3462870
164,3494617
165,3515443
166,3470230
167,3568680
168,3629470
169,3584893
170,3611883
171,3713888
172,3680526
173,3731463
174,3719514
175,3720447
176,3833567
177,3803572
178,3750292
179,3790908
180,3801861
181,3948158
182,3890765
183,3954315
184,3957953
185,3955927
186,3972254
187,4007213
188,4036178
189,4090185
190,4080803
191,4165626
192,4146285
193,4115116
194,4172862
195,4222191
196,4235949
197,4274636
198,4332482
199,4280334
