elements*1000,comparisons
1,12690
2,24265
3,36452
4,55107
5,68052
6,89924
7,99127
8,119700
9,138458
10,166698
11,170865
12,188469
13,205717
14,227485
15,239782
16,252243
17,282146
18,297813
19,313028
20,352151
21,363366
22,394787
23,386904
24,406333
25,426656
26,433874
27,470233
28,498914
29,540767
30,559203
31,532062
32,581102
33,597217
34,606994
35,628232
36,636665
37,707174
38,710140
39,718433
40,737788
41,736855
42,720389
43,762268
44,781561
45,857424
46,911730
47,913746
48,891015
49,888507
50,911080
51,972353
52,974314
53,1049099
54,1079462
55,1043940
56,1019878
57,1091209
58,1160461
59,1109307
60,1165603
61,1149626
62,1213838
63,1195199
64,1262326
65,1276329
66,1274902
67,1231535
68,1373644
69,1424381
70,1384063
71,1449446
72,1386909
73,1394630
74,1422783
75,1527075
76,1505528
77,1476172
78,1549143
79,1516596
80,1575228
81,1668928
82,1620602
83,1629592
84,1622112
85,1668197
86,1768792
87,1754466
88,1702326
89,1785804
90,1806345
91,1920194
92,1770245
93,2024886
94,1880907
95,1915041
96,1956650
97,2003434
98,1912157
99,2161198
100,1953742
101,1979336
102,2155766
103,2039754
104,2171114
105,2061158
106,2088432
107,2156598
108,2281733
109,2213174
110,2328149
111,2208153
112,2223426
113,2384766
114,2323603
115,2391737
116,2353855
117,2382521
118,2358806
119,2422546
120,2561974
121,2371563
122,2593881
123,2469254
124,2538774
125,2531569
126,2532772
127,2642138
128,2627259
129,2695535
130,2652206
131,2669602
132,2787812
133,2705115
134,2767759
135,2958000
136,2869303
137,2798273
138,2846081
139,2849175
140,2981003
141,2903193
142,2952163
143,2927384
144,2914331
145,3155939
146,3031062
147,3048136
148,3172018
149,3173456
150,3025039
151,3226698
152,3151521
153,3244204
154,3191468
155,3223035
156,3305036
157,3295230
158,3356229
159,3359157
160,3571063
161,3426492
162,3413082
163,3435717
164,3640110
165,3359145
166,3622867
167,3614552
168,3537899
169,3603740
170,3742477
171,3611725
172,3904777
173,3495941
174,3533231
175,3645896
176,3576726
177,3659207
178,3704762
179,3700837
180,3899923
181,3873771
182,4063332
183,4009824
184,4013251
185,4161890
186,3978470
187,4122235
188,3977136
189,3934869
190,3941382
191,4099720
192,4230839
193,3977755
194,4293398
195,4291267
196,4226089
197,4083807
198,4238894
199,4463478
200,4083837
201,4294106
202,4250263
203,4520030
204,4385922
205,4427212
206,4434814
207,4533053
208,4506248
209,4378462
210,4372469
211,4543486
212,4592194
213,4615866
214,4612243
215,4617231
216,4723798
217,4820805
218,4709148
219,4729467
220,4667181
221,4844697
222,4704915
223,4809951
224,4688528
225,4707483
226,4867844
227,4814771
228,5064687
229,4979550
230,4843518
231,5296628
232,4916823
233,5469962
234,4997222
235,5147111
236,4919388
237,5108912
238,5252152
239,5306185
240,5058470
241,5189671
242,5352751
243,5211790
244,5392763
245,5358814
246,5383929
247,5488724
248,5330679
249,5321515
250,5530676
251,5887865
252,5450202
253,5594122
254,5784094
255,5309074
256,5421753
257,5684533
258,5543813
259,5605035
260,5616752
261,5588402
262,5697143
263,5821028
264,5933569
265,5569354
266,5755623
267,5896438
268,5896248
269,5825023
270,5840107
271,6392354
272,5898411
273,6281350
274,6083452
275,5998624
276,6131524
277,6208063
278,6550792
279,6249958
280,6191467
281,6398181
282,6414721
283,6304834
284,6329787
285,6230461
286,6440398
287,6403413
288,6381375
289,6559050
290,6430910
291,6474895
292,6328164
293,6406741
294,6349480
295,6476115
296,6980846
297,6969052
298,6787257
299,6506324
300,6468795
301,6560999
302,7054895
303,6726347
304,6568521
305,6832760
306,7045746
307,7283524
308,6692272
309,7057748
310,6766762
311,7027093
312,6906015
313,7045600
314,7261700
315,6942572
316,7842711
317,7928131
318,7396553
319,6924654
320,7098203
321,6990503
322,6965856
323,6905252
324,7421919
325,7071477
326,7562248
327,7646020
328,7149704
329,7322273
330,7452486
331,7894404
332,7484009
333,7434761
334,7862812
335,7367733
336,7509165
337,7463092
338,7520928
339,7669911
340,7619470
341,8266929
342,7727261
343,7466132
344,8314778
345,8205945
346,7657418
347,7815805
348,7974652
349,7950903
350,7960869
351,7733427
352,8009963
353,8215824
354,8003015
355,8157153
356,8252459
357,8036380
358,8275932
359,7986100
360,8487705
361,8012406
362,8551027
363,8017664
364,8568239
365,8301299
366,8111079
367,8318068
368,8464647
369,8317990
370,8761115
371,8331173
372,8420511
373,8339829
374,8491187
375,8785482
376,8754779
377,8531713
378,8444360
379,8901052
380,8701034
381,8632722
382,8526913
383,9173413
384,8544099
385,8477108
386,8745867
387,8639258
388,8921147
389,8727154
390,8889672
391,8996681
392,9404837
393,9006739
394,9319352
395,9371589
396,9031839
397,8945121
398,9158563
399,9520852
400,9290209
401,9463267
402,9166257
403,9045185
404,8913093
405,9221432
406,9503835
407,9851610
408,9396109
409,9210036
410,9321942
411,9617920
412,9597723
413,9821697
414,9278348
415,9123836
