elements*1000,comparisons
1,10936
2,22902
3,42414
4,57558
5,70676
6,89989
7,99385
8,125223
9,132003
10,150651
11,186843
12,199846
13,232157
14,234769
15,265638
16,259287
17,283394
18,296013
19,307513
20,337186
21,346735
22,367975
23,369378
24,403396
25,424300
26,462614
27,473934
28,458410
29,497619
30,537492
31,523168
32,573652
33,575914
34,617764
35,635070
36,649535
37,675255
38,688190
39,715375
40,810920
41,768609
42,751846
43,753036
44,806255
45,826555
46,931557
47,902532
48,876976
49,913359
50,939262
51,951317
52,947777
53,980936
54,1014784
55,1050849
56,1038015
57,1055784
58,1121361
59,1143411
60,1180583
61,1139534
62,1194419
63,1177542
64,1218227
65,1238744
66,1369109
67,1261194
68,1391356
69,1324913
70,1373424
71,1496773
72,1370695
73,1419090
74,1401148
75,1521210
76,1477119
77,1543278
78,1511204
79,1606127
80,1525245
81,1689061
82,1607748
83,1596493
84,1697325
85,1615318
86,1698298
87,1694817
88,1742391
89,1759209
90,1786670
91,1747973
92,1870107
93,1809451
94,1864144
95,1848538
96,1881496
97,1867800
98,1940341
99,1884728
100,2084956
101,2040944
102,2063577
103,1984313
104,2029334
105,2249327
106,2120131
107,2155551
108,2313016
109,2191538
110,2439300
111,2319932
112,2174517
113,2414602
114,2349947
115,2421959
116,2382292
117,2630319
118,2331066
119,2475750
120,2585100
121,2561932
122,2461214
123,2486794
124,2574821
125,2631559
126,2541065
127,2573294
128,2626464
129,2647858
130,2798984
131,2679973
132,2887071
133,2700279
134,2691222
135,2843896
136,2800020
137,2911900
138,2950644
139,3026440
140,2934564
141,2918460
142,2995035
143,2972798
144,2952894
145,3112705
146,2987595
147,3217371
148,3177854
149,3036745
150,3201211
151,3123895
152,3257775
153,3264022
154,3122198
155,3240074
156,3222091
157,3377139
158,3228129
159,3335058
160,3276874
161,3325955
162,3430106
163,3506316
164,3475543
165,3571976
166,3434620
167,3415770
168,3474667
169,3553170
170,3679591
171,3535193
172,3655352
173,3775178
174,3602966
175,3657423
176,3676741
177,3892595
178,3626486
179,3781061
180,3785546
181,4306464
182,3865476
183,4006319
184,3840627
185,3802860
186,3895281
187,4156388
188,3827851
189,3938371
190,4284666
191,3954789
192,4140135
193,4243947
194,4289893
195,4037346
196,4148750
197,4131736
198,4166855
199,4257335
200,4123643
201,4175533
202,4430519
203,4445590
204,4691547
205,4411351
206,4563609
207,4535229
208,4515374
209,4367223
210,4412929
211,4472367
212,4615014
213,4804789
214,4500735
215,4858959
216,4612211
217,4774370
218,4836743
219,4604921
220,5013130
221,4748613
222,4641082
223,4806095
224,4930764
225,4976287
226,4858463
227,4942153
228,5010520
229,4818333
230,5095757
231,5160891
232,4943512
233,5080996
234,4865052
235,5048797
236,5096762
237,5069511
238,5104532
239,5265787
240,5152944
241,5210914
242,5270087
243,5423904
244,5286959
245,5586366
246,5618234
247,5537558
248,6073319
249,5679980
250,5636112
251,5817782
252,5388320
253,5859509
254,5703956
255,5442178
256,5583881
257,5680742
258,5742166
259,5654842
260,6060049
261,5688495
262,5874357
263,5747123
264,5924396
265,5743856
266,6173025
267,5886984
268,5793401
269,5790846
270,5965342
271,6037985
272,6395783
273,6035774
274,6083744
275,6128552
276,6272493
277,6000007
278,6123992
279,6663619
280,6324953
281,6242973
282,6359772
283,6484227
284,6401547
285,6066247
286,6273497
287,6147562
288,6698403
289,6328984
290,6237308
291,6378794
292,6258898
293,6672819
294,6634137
295,6516092
296,6535566
297,6791333
298,6352882
299,6494604
300,7073871
301,6946990
302,6572871
303,6595749
304,6960054
305,7057005
306,6914110
307,6679122
308,7180275
309,6993051
310,6594698
311,7063551
312,6865826
313,6962802
314,7046211
315,6862047
316,6953870
317,7169036
318,7255164
319,7380255
320,7234580
321,7100499
322,7236055
323,7178792
324,7967631
325,7189444
326,7513435
327,7645234
328,7499916
329,7753981
330,7153908
331,7802275
332,7638946
333,8134097
334,7302592
335,7599666
336,7728082
337,7631184
338,8446203
339,8064997
340,7538271
341,7389513
342,7643355
343,7738585
344,7549076
345,8010804
346,7546255
347,7722702
348,7711099
349,7909675
350,7951434
351,8099593
352,8009564
353,8055453
354,7852813
355,8015804
356,7838020
357,8291812
358,8025668
359,8139165
360,8156913
361,8037386
362,8231191
363,7961692
364,8086905
365,8134151
366,8058566
367,8561801
368,8135865
369,8713779
370,8264388
371,8270247
372,8615620
373,8422188
374,8599935
375,8507654
376,8600057
377,8867943
378,8377895
379,8707867
380,9015982
381,9001386
382,8464187
383,8649610
384,8424606
385,8524437
386,8533173
387,8634645
388,8880929
389,8941614
390,8814196
391,8825353
392,9052406
393,8899059
394,8977221
395,8632093
396,9955693
397,8756020
398,9231980
399,8891502
400,9052814
401,9651757
402,9373521
403,9422128
404,9369635
405,9350256
406,9513729
407,9201762
408,9243311
409,9255854
410,9227627
411,9114021
412,9429260
413,9436568
414,9255421
415,9432640
416,9356485
417,9733783
418,9519671
419,9729411
420,9876483
421,9644843
422,9342019
423,9209815
424,9455488
425,9764619
426,9771083
427,9848746
428,9998932
429,10743320
430,9798185
431,9938339
432,9826455
433,9999346
434,9707040
435,9833465
436,9897967
437,10235212
438,10120261
439,9902492
440,10065849
441,9779874
442,10291898
443,10353242
444,10380080
445,10363100
446,10449245
447,10118915
448,10073888
449,10142206
450,10539736
451,9945719
452,10724028
453,10345648
454,10499751
455,10565910
456,10413526
457,10708329
458,11307557
459,11157671
460,10611329
461,10933668
462,10718434
463,10613951
464,10513585
465,11057172
466,11742769
467,11208878
468,10516676
469,11295762
470,10952601
471,10677307
472,10426398
473,11064592
474,11297970
475,11495189
476,12077572
477,10961973
478,10848555
479,10721827
480,11444695
481,11050665
482,11541949
483,11440470
484,11252701
485,11090983
486,11869129
487,11488362
488,11777128
489,11093935
490,11183007
491,11451533
492,12469790
493,11421642
494,12368782
495,11735953
496,12568089
497,11303503
498,11189054
499,11834577
500,13577691
501,12092495
502,11484479
503,11533384
504,12239690
505,11810390
506,12518061
507,12085471
508,12002428
509,12176623
510,12348219
511,13123849
512,11806861
513,11788183
514,12680132
515,12549011
516,11848152
517,12501670
518,12518213
519,12402543
520,12005943
521,12024455
522,12543998
523,12098918
524,12701855
525,12163655
526,12125087
527,12713478
528,12715289
529,12218544
530,12254231
531,12146242
532,13144747
533,12176283
534,12386936
535,12089119
536,12732194
537,12773760
538,12587658
539,12600207
540,12829612
541,13019871
542,12281544
543,12340899
544,12311672
545,13362121
546,12558122
547,13274026
548,12820625
549,12751521
550,12430613
551,13766688
552,12756232
553,12838572
554,13739488
555,13302582
556,13071688
557,12742804
558,13001045
559,12790358
560,12912940
561,13551758
562,13262396
563,13240513
564,13321830
565,13317731
566,13489316
567,13206042
568,13553246
569,13057858
570,13657032
571,13722387
572,14008589
573,13444871
574,13542099
575,14252816
576,13695970
577,13607237
578,13769034
579,13510436
580,13396163
581,14053224
582,13715423
583,13825245
584,13410387
585,13610227
586,13648150
587,13606849
588,14140491
589,14210997
590,14018095
591,15813610
592,13631934
593,13928296
594,14567133
595,13844184
596,13729792
597,14587302
598,13776422
599,14421708
600,14521969
601,14105446
602,15394657
603,13775954
604,14600875
605,14408506
606,14483228
607,14511037
608,14639261
609,14551883
610,14328686
611,14449271
612,15314947
613,14363033
614,14429789
615,14701466
616,14568970
617,14580739
618,14823148
619,14909994
620,14203562
621,14980029
622,14763783
623,14704490
624,14873336
625,15380028
626,16057388
627,15100156
628,16128261
629,14866886
630,14813672
631,14890508
632,15090100
633,15889609
634,15654240
635,15774222
636,15126282
637,15368904
638,15490183
639,16347863
640,15063363
641,15355609
642,14900973
643,15203279
644,14766203
645,15241637
646,15376639
647,14776560
648,15103261
649,15888302
650,15046929
651,16686422
652,15125900
653,15371768
654,15402920
655,16575456
656,15537643
657,15844197
658,15096682
659,15581042
660,16007429
661,15912419
662,15169531
663,16057921
664,15719201
665,15832498
666,15975469
667,16056955
668,16054148
669,16421283
670,15700795
671,15968457
672,15806593
673,16167686
674,15969625
675,16168716
676,16448279
677,16857910
678,16798115
679,16826728
680,16381879
681,16524270
682,16477663
683,16175149
684,16026989
685,16218716
686,16029864
687,15997734
688,16943829
689,16368848
690,17204514
691,17221294
692,16444309
693,16636787
694,16608356
695,17142076
696,15984338
697,16332651
698,16594094
699,17846204
700,16330473
701,16374585
702,17397905
703,17103731
704,17238509
705,17294859
706,16480399
707,17045228
708,17390776
709,16859082
710,18103967
711,17366728
712,16977562
713,17038057
714,18044835
715,17579210
716,17462447
717,17549798
718,17437153
719,17847218
720,17196690
721,17330163
722,18744412
723,17049864
724,17253152
725,17378228
726,17750800
727,17099448
728,17742444
729,17444710
730,17231676
731,17595181
732,18531023
733,17393451
734,17621967
735,18475937
736,17654856
737,18111375
738,17326305
739,18416486
740,18296369
741,17662756
742,18141379
743,17394296
744,17957287
745,17921716
746,17828776
747,17363096
748,18270979
749,18539911
750,17757921
751,18005053
752,18172462
753,18294716
754,18362957
755,17597633
756,17863009
757,18387822
758,18665737
759,18034677
760,18234354
761,17912988
762,18354245
763,19119466
764,18684251
765,17950928
766,18606971
767,19137584
768,19293335
769,18435995
770,17961317
771,18740180
772,19446627
773,18303844
774,18995763
775,18836682
776,18574866
777,18679702
778,18241999
779,18600813
780,19087534
781,19072290
782,19356684
783,18317129
784,18867613
785,18131965
786,19833001
787,18407950
788,19843166
789,19066708
790,19073811
791,18790299
792,18883895
793,18788402
794,18522872
795,19481368
796,19205190
797,18896668
798,19054208
799,19460043
800,19775869
801,19739284
802,19291218
803,19466163
804,19554040
805,20816829
806,18928216
807,20637307
808,19591621
809,19729926
810,19295606
811,19348921
812,19718284
813,19275509
814,19333979
815,20389502
816,19048137
817,19905616
818,19287919
819,19896541
820,19469007
821,20031001
822,19669731
823,20077936
824,20562968
825,20764588
826,20088327
827,20002060
828,19813069
829,20022704
830,20681175
831,20171288
832,20438389
833,20399658
834,19979047
835,19675600
836,19980305
837,20206000
838,20784523
839,20379281
840,20291061
841,20629837
842,20418569
843,20546819
844,20115990
845,20454170
846,21402648
847,20111085
848,20607144
849,20316393
850,21408064
851,20851823
852,20711494
853,21375585
854,21178573
855,20931135
856,21131850
857,20594633
858,22528159
859,20731467
860,20935304
861,20536835
862,20949049
863,20868020
864,21839103
865,21507706
866,20301458
867,21288955
868,20684957
869,20548607
