elements*1000,avg comparisons
1,10629
2,25515
3,40049
4,54052
5,72031
6,85820
7,106246
8,120042
9,139665
10,155813
11,172697
12,195282
13,213424
14,229740
15,247778
16,262836
17,283765
18,303447
19,319547
20,332465
21,352266
22,379455
23,404175
24,413625
25,437056
26,454063
27,477569
28,480212
29,514672
30,538235
31,566210
32,575245
33,597056
34,607661
35,636792
36,649557
37,675436
38,688523
39,706470
40,736032
41,760680
42,762289
43,792152
44,835491
45,815427
46,853986
47,873293
48,898658
49,919184
50,939145
51,957367
52,1005203
53,1000778
54,1035291
55,1038943
56,1056230
57,1075852
58,1111385
59,1125857
60,1170542
61,1186714
62,1215404
63,1196911
64,1224285
65,1246120
66,1268907
67,1316814
68,1301917
69,1336927
70,1365413
71,1378826
72,1389333
73,1415975
74,1444145
75,1477492
76,1506686
77,1533179
78,1521662
79,1546287
80,1572907
81,1580828
82,1614819
83,1629619
84,1672855
85,1668733
86,1738130
87,1744704
88,1784699
89,1793385
90,1771683
91,1874197
92,1857101
93,1834020
94,1843875
95,1906959
96,1918813
97,1954726
98,1963727
99,2024799
100,2012297
101,2042661
102,2093082
103,2065363
104,2099975
105,2142531
106,2149185
107,2167549
108,2193604
109,2175412
110,2264477
111,2231417
112,2289761
113,2312280
114,2323651
115,2352793
116,2369412
117,2426360
118,2439151
119,2412648
120,2408687
121,2487642
122,2499590
123,2539304
124,2550152
125,2563799
126,2628943
127,2636254
128,2673052
129,2658465
130,2666989
131,2687415
132,2767954
133,2773169
134,2774132
135,2826856
136,2854497
137,2874479
138,2874357
139,2897322
140,2925803
141,2933694
142,2971947
143,3008801
144,3014045
145,3011324
146,3102314
147,3142339
148,3107746
149,3092873
150,3121147
151,3204537
152,3205790
153,3240165
154,3321913
155,3259117
156,3259591
157,3338906
158,3352036
159,3403883
160,3388479
161,3402051
162,3413362
163,3414526
164,3493222
165,3522328
166,3570202
167,3566002
168,3593883
169,3540460
170,3608494
171,3645472
172,3661726
173,3678567
174,3785958
175,3774540
176,3711802
177,3773576
178,3787163
179,3869811
180,3872540
181,3879591
182,3892780
183,3936826
184,4019797
185,3956475
186,4009074
187,3960562
188,4025336
189,4042968
190,4049599
191,4141646
192,4100075
193,4213671
194,4158276
195,4204687
196,4217794
197,4285100
198,4240586
199,4341645
200,4372074
201,4361898
202,4437781
203,4388108
204,4397037
205,4419492
206,4382672
207,4512479
208,4460249
209,4472575
210,4521985
211,4632588
212,4546171
213,4571230
214,4673118
215,4581727
216,4612942
217,4820744
218,4818080
219,4739731
220,4704408
221,4756853
222,4781524
223,4860282
224,4859376
225,4870711
226,4944746
227,4997759
228,4959845
229,5023080
230,5068667
231,5079609
232,5190124
233,5146043
234,5189925
235,5173035
236,5184253
237,5154172
238,5183924
239,5151906
240,5241734
241,5233602
242,5344377
243,5282956
244,5360947
245,5308851
246,5395808
247,5417614
248,5480150
249,5415240
250,5527437
251,5465877
252,5661991
253,5627775
254,5572273
255,5576042
256,5604900
257,5685978
258,5715877
259,5724485
260,5786756
261,5741265
262,5791265
263,5846791
264,5854052
265,5941963
266,5924245
267,5828467
268,5829190
269,6009640
270,5956878
271,5956306
272,5991636
273,6077221
274,6069923
275,6185044
276,6185629
277,6097121
278,6071940
279,6096945
280,6280757
281,6310214
282,6286299
283,6314989
284,6253972
285,6242950
286,6364203
287,6421977
288,6412617
289,6470365
290,6519800
291,6528333
292,6473467
293,6613105
294,6577888
295,6530996
296,6651783
297,6785206
298,6686438
299,6737204
300,6688292
301,6662794
302,6764197
303,6873005
304,6844956
305,6856237
306,6874776
307,6819375
308,6998153
309,7005635
310,6963992
311,6967084
312,7049155
313,6865262
314,7157467
315,7124049
316,7072092
317,7171860
318,7104866
319,7144100
320,7144437
321,7377107
322,7315826
323,7377940
324,7221300
325,7388507
326,7377699
327,7463173
328,7474045
329,7359041
330,7407402
331,7436019
332,7469522
333,7548767
334,7496883
335,7550124
336,7587674
337,7580655
338,7579430
339,7671298
340,7767327
341,7767374
342,7826645
343,7701727
344,7863282
345,7675217
346,7876590
347,7843768
348,7860849
349,7922854
350,7878796
351,7915848
352,7935019
353,8101740
354,8040289
355,8006769
356,8038212
357,8187152
358,8088030
359,8183231
360,8134917
361,8189629
362,8257185
363,8181717
364,8212737
365,8302402
366,8362220
367,8373374
368,8327654
369,8435390
370,8458533
371,8494181
372,8416853
373,8637396
374,8576999
375,8584222
376,8598134
377,8541797
378,8526972
379,8665769
380,8664994
381,8681668
382,8676473
383,8705454
384,8781300
385,8768944
386,8846704
387,8949865
388,8841015
389,8985707
390,8830475
391,9047359
392,8917472
393,8994242
394,9035704
395,8935276
396,9084821
397,9083165
398,9135210
399,9080132
400,9212225
401,9152985
402,9234276
403,9455339
404,9273367
405,9228997
406,9275693
407,9173406
408,9371716
409,9394569
410,9412128
411,9440850
412,9417258
413,9502421
414,9689446
415,9755620
416,9600124
417,9676229
418,9677032
419,9737645
420,9568085
421,9767225
422,9714575
423,9705692
424,9679645
425,9937075
426,9852204
427,9940793
428,9895599
429,9957883
430,9882914
431,9744335
432,9871292
433,10032370
434,10003035
435,10036055
436,10212108
437,10144966
438,10088406
439,10094004
440,10217334
441,10071223
442,10180084
443,10215175
444,10204689
445,10322302
446,10310319
447,10341431
448,10421141
449,10475603
450,10437479
451,10571547
452,10426523
453,10523687
454,10542359
455,10582836
456,10521024
457,10558083
458,10591848
459,10774779
460,10716976
461,10648773
462,10995886
463,10773169
464,10737396
465,10855739
466,10931546
467,10962595
468,10811281
469,10963455
470,10987228
471,10928910
472,10943886
473,11089577
474,11202596
475,10940126
476,11055461
477,10978619
478,11159921
479,11056530
480,11172114
481,11112521
482,11360451
483,11239502
484,11474647
485,11238838
486,11364998
487,11321145
488,11371641
489,11462286
490,11397414
491,11409460
492,11481254
493,11692243
494,11499772
495,11636017
496,11696240
497,11484487
498,11620072
499,11593166
500,11565015
501,11697876
502,11670949
503,11609820
504,11853862
505,11794991
506,12082104
507,11590261
508,11717939
509,11855083
510,12044670
511,12081529
512,11983333
513,11957179
514,11982204
515,12114001
516,12159586
517,12112564
518,12266209
519,12347811
520,12375156
521,12267947
522,12208758
523,12174283
524,12262654
525,12208769
526,12400988
527,12316961
528,12440471
529,12623736
530,12369061
531,12498395
532,12543633
533,12769893
534,12496596
535,12543340
536,12709662
537,12626212
538,12687263
539,12854521
540,12625431
541,12680815
542,12566954
543,12808389
544,12689194
545,13026254
546,12981768
547,12853867
548,12911933
549,12925203
550,13124002
551,13044692
552,13002261
553,13085508
554,13085842
555,13016143
556,13005171
557,13211627
558,13528115
559,13306086
560,13269739
561,13198447
562,13346920
563,13283398
564,13386077
565,13357119
566,13580703
567,13360603
568,13511915
569,13447869
570,13518914
571,13420366
572,13505582
573,13671838
574,13625061
575,13662016
576,13679417
577,13580100
578,13820741
579,13484594
580,13989285
581,13625398
582,13712088
583,13766054
584,13996849
585,13986564
586,13933181
587,14019194
588,13927143
589,14119279
590,14300232
591,14496439
592,13966657
593,14092099
594,14069881
595,14247438
596,14148486
597,14120379
598,14155510
599,14500108
600,14500427
601,14084780
602,14218502
603,14305655
604,14358545
605,14437962
606,14400283
607,14585979
608,14275406
609,14398305
610,14503566
611,14425620
612,14547800
613,14579694
614,14626621
615,14585214
616,14657467
617,14706103
618,14793329
619,14652157
620,14684345
621,14798268
622,14953602
623,14640239
624,15066531
625,14934527
626,15023390
627,14881725
628,15300210
629,15296827
630,15063604
631,15162547
632,15047710
633,15248407
634,15504446
635,15047208
636,15003011
637,15152578
638,15355773
639,15131800
640,15575988
641,15412818
642,15350501
643,15404185
644,15402218
645,15325076
646,15545367
647,15355393
648,15302371
649,15843848
650,15513201
651,15602261
652,15519535
653,15729723
654,15696040
655,15574845
656,15750333
657,15846269
658,15460583
659,15695734
660,15628509
661,15837257
662,15879824
663,15953518
664,15771162
665,15982240
666,15723006
667,15751807
668,16030694
669,15901486
670,15988656
671,16101791
672,16250415
673,16250505
674,16197991
675,16326089
676,15897611
677,16284937
678,16310405
679,16334688
680,16239449
681,16391821
682,16414245
683,16370700
684,16360660
685,16781669
686,16285184
687,16434635
688,16462537
689,16326827
690,16499355
691,16600964
692,16593003
693,16708913
694,17033180
695,16829080
696,17037619
697,16581329
698,16862412
699,17022079
700,16982511
701,16810665
