elements*1000,comparisons
1,10953
2,27736
3,37827
4,52483
5,71261
6,84085
7,107275
8,123457
9,148126
10,154992
11,180106
12,207225
13,218907
14,220842
15,231814
16,246606
17,293391
18,297550
19,329532
20,325009
21,396617
22,367353
23,378811
24,435058
25,425780
26,459886
27,467629
28,473029
29,506693
30,524014
31,561867
32,612516
33,562012
34,654579
35,616710
36,642167
37,681765
38,677795
39,723142
40,690484
41,754569
42,762094
43,801750
44,801708
45,811414
46,885788
47,855492
48,905366
49,901957
50,966265
51,918338
52,962006
53,1014838
54,1111197
55,1043077
56,1063713
57,1098424
58,1065156
59,1106086
60,1094788
61,1172917
62,1150502
63,1174169
64,1322617
65,1293757
66,1267335
67,1346479
68,1369912
69,1315098
70,1309329
71,1421428
72,1421539
73,1393223
74,1395368
75,1439207
76,1443761
77,1481483
78,1550617
79,1532472
80,1553357
81,1577026
82,1614232
83,1605661
84,1664066
85,1742196
86,1736764
87,1734800
88,1802993
89,1779648
90,1751316
91,1794307
92,1857438
93,1841127
94,1847478
95,1857319
96,1924562
97,2008462
98,1934171
99,2026246
100,2032145
101,1974240
102,2136886
103,2092755
104,2145810
105,2096968
106,2113739
107,2211702
108,2303833
109,2193058
110,2217730
111,2316829
112,2264039
113,2354286
114,2229554
115,2290173
116,2314956
117,2324214
118,2405792
119,2444723
120,2413413
121,2410557
122,2547998
123,2538672
124,2640036
125,2836100
126,2601200
127,2773337
128,2555578
129,2643680
130,2685306
131,2692597
132,2786433
133,2858010
134,2828480
135,2821925
136,2869401
137,2833791
138,2770004
139,2826746
140,2914412
141,2906282
142,3150865
143,2949654
144,3021588
145,3185726
146,2912525
147,3020090
148,3170750
149,3029433
150,3163111
151,3150992
152,3361069
153,3085213
154,3323765
155,3250663
156,3169598
157,3221572
158,3234607
159,3324833
160,3343873
161,3428333
162,3461386
163,3401704
164,3502767
165,3368770
166,3480718
167,3399896
168,3791656
169,3592121
170,3661997
171,3516343
172,3597222
173,3714302
174,3761696
175,3686451
176,3552285
177,3792115
178,3952534
179,4033007
180,3715242
181,4005839
182,3863939
183,3797837
184,3898600
185,3849946
186,4382731
187,3984527
188,3945857
189,3993193
190,4297364
191,4177089
192,4091287
193,4146635
194,4200779
195,4019258
196,4125882
197,4185568
198,4210836
199,4352568
200,4584995
201,4214965
202,4372300
203,4207200
204,4567307
205,4348116
206,4514564
207,4495287
208,4444690
209,4739554
210,4606904
211,4465198
212,4630817
213,4508407
214,4726930
215,4594772
216,4921844
217,4967302
218,4662715
219,4699278
220,4556625
221,4917283
222,4977944
223,4851571
224,4895314
225,5013560
226,4999136
227,5028272
228,5229860
229,4998068
230,5088855
231,5097126
232,5066810
233,5150699
234,5133669
235,5174607
236,5170940
237,5256872
238,5181842
239,5397226
240,5511727
241,5095749
242,5091767
243,5472259
244,5334031
245,5255845
246,5311847
247,5471569
248,5442620
249,5680522
250,5352348
251,5440461
252,5671125
253,5479087
254,5671404
255,6171838
256,6015501
257,6113524
258,5716834
259,5810743
260,5635664
261,5944239
262,5677816
263,5911176
264,5704588
265,5839919
266,5863640
267,6234463
268,6013355
269,5727340
270,5941084
271,6130563
272,6137360
273,6115323
274,6027370
275,6117462
276,6011450
277,6504644
278,6044071
279,6052378
280,6173147
281,6119423
282,6095408
283,6471866
284,6305182
285,6787046
286,6433485
287,6392685
288,6228572
289,6545037
290,6990957
291,6662941
292,6796507
293,6740005
294,7099694
295,6757959
296,6673134
297,6461176
298,6503922
299,6512671
300,7121193
301,6603716
302,7127352
303,7314765
304,6641967
305,7036650
306,6700528
307,7000832
308,7287808
309,7144084
310,6908434
311,6894663
312,7457849
313,7229988
314,7137797
315,6824966
316,7289052
317,7479471
318,7212656
319,7466741
320,7098059
321,7806869
322,7273016
323,7211439
324,7615853
325,7244537
326,7349754
327,7276131
328,7474221
329,7506581
330,7518040
331,7549922
332,7730784
333,7681865
334,8109374
335,7863911
336,7742439
337,7737979
338,7659817
339,7888495
340,7779091
341,7774264
342,8401031
343,8045021
344,8277421
345,8225580
346,7866099
347,7989656
348,7893553
349,7905077
350,8112094
351,8428264
352,7738342
353,8328187
354,8305134
355,8249924
356,8202740
357,8771052
358,8087173
359,8097410
360,8217054
361,8047743
362,8632473
363,8176937
364,8668242
365,8177112
366,8311111
367,8617907
368,8963228
369,8405562
370,8427226
371,8788615
372,8837052
373,8659396
374,8866414
375,8574991
376,8712230
377,8805739
378,8397938
379,8867616
380,8765075
381,9059186
382,9075456
383,9258590
384,9075219
385,9045338
386,8838113
387,9353445
388,9404808
389,9102403
390,8836915
391,9637491
392,8769817
393,9243850
394,8998691
395,8831109
396,9259546
397,9278666
398,9137143
399,9702447
400,9259755
401,9212722
402,9335455
403,9695778
404,9250895
405,9277523
406,9494390
407,9570326
408,9427969
409,9535351
410,9621741
411,9916296
412,9799309
413,9748026
414,9515237
415,9326843
416,9582398
417,9763457
418,9788079
419,10146584
420,9912623
421,10238616
422,10146649
423,9638167
424,9733691
425,9795735
426,9962088
427,10078942
428,9905817
429,9819515
430,10026210
431,10950616
