elements*1000,avg comparisons
1,10009
2,22136
3,34636
4,49440
5,62570
6,77679
7,90658
8,104701
9,120301
10,135914
11,151820
12,165331
13,179571
14,196904
15,212656
16,227693
17,244320
18,259303
19,275115
20,292468
21,306731
22,323518
23,339541
24,354292
25,371684
26,387175
27,405127
28,421086
29,437056
30,458796
31,473319
32,487338
33,504053
34,521806
35,537323
36,554969
37,571525
38,590857
39,607472
40,622394
41,641899
42,656465
43,672995
44,692235
45,706894
46,724179
47,743475
48,758385
49,777817
50,793172
51,811540
52,829135
53,847796
54,863286
55,883491
56,897295
57,915574
58,934521
59,950353
60,967934
61,986244
62,1002838
63,1023005
64,1041222
65,1058591
66,1072488
67,1092068
68,1110851
69,1131504
70,1144380
71,1166111
72,1181015
73,1200110
74,1216875
75,1232743
76,1256233
77,1271545
78,1288666
79,1308230
80,1326956
81,1345505
82,1359515
83,1380303
84,1395372
85,1415319
86,1440058
87,1454206
88,1474830
89,1486897
90,1508723
91,1529211
92,1540696
93,1558403
94,1580328
95,1604895
96,1617212
97,1633916
98,1654794
99,1670139
100,1691667
101,1708043
102,1724231
103,1744976
104,1764013
105,1784228
106,1802353
107,1820307
108,1834378
109,1855411
110,1875975
111,1893855
112,1908810
113,1932095
114,1952050
115,1968152
116,1988635
117,2006954
118,2020685
119,2045461
120,2058260
121,2075667
122,2097247
123,2116847
124,2132423
125,2154569
126,2170092
127,2188278
128,2210200
129,2226574
130,2248627
131,2260674
132,2283430
133,2303170
134,2323403
135,2343409
136,2362402
137,2380784
138,2400170
139,2418554
140,2436806
141,2453718
142,2471682
143,2492145
144,2507797
145,2527169
146,2543215
147,2566471
148,2588109
149,2606100
150,2618357
151,2644248
152,2662733
153,2680796
154,2698729
155,2716417
156,2737523
157,2756658
158,2769321
159,2791902
160,2813187
161,2831037
162,2853734
163,2871033
164,2890156
165,2911753
166,2923895
167,2938341
168,2967153
169,2981689
170,3009222
171,3022186
172,3045482
173,3057546
174,3081326
175,3100421
176,3116782
177,3134202
178,3161642
179,3175486
180,3187600
181,3217547
182,3231079
183,3252155
184,3277252
185,3295311
186,3308726
187,3330963
188,3347543
189,3367523
190,3384272
191,3408950
192,3422413
193,3446355
194,3461821
195,3482361
196,3502959
197,3520643
198,3543870
199,3560402
