elements*1000,avg comparisons
1,11230
2,25162
3,39425
4,55072
5,70640
6,87902
7,104793
8,118405
9,135252
10,155789
11,178408
12,188149
13,210118
14,223249
15,245830
16,268008
17,291237
18,294417
19,317547
20,339845
21,355091
22,382703
23,401989
24,417974
25,428920
26,464545
27,474036
28,489821
29,514629
30,522375
31,561728
32,566251
33,589081
34,615545
35,633590
36,659591
37,669434
38,686138
39,711361
40,731936
41,741732
42,769768
43,803328
44,827032
45,830445
46,852820
47,888618
48,903927
49,942009
50,950350
51,982258
52,989650
53,1005282
54,1036039
55,1038579
56,1047170
57,1080914
58,1115206
59,1122679
60,1155466
61,1172528
62,1191704
63,1195894
64,1215293
65,1243094
66,1284550
67,1313164
68,1338244
69,1321743
70,1360265
71,1367941
72,1425037
73,1420985
74,1428353
75,1472784
76,1502419
77,1515285
78,1529660
79,1543092
80,1584565
81,1602895
82,1602454
83,1623311
84,1683319
85,1674346
86,1702431
87,1761936
88,1788442
89,1801692
90,1773084
91,1799991
92,1821178
93,1870761
94,1889798
95,1930145
96,1958735
97,1964771
98,1952999
99,1989007
100,2017155
101,2050957
102,2038090
103,2108344
104,2129258
105,2077537
106,2135785
107,2186645
108,2202924
109,2204735
110,2242062
111,2265274
112,2286414
113,2293253
114,2319309
115,2313187
116,2391409
117,2397996
118,2366009
119,2432185
120,2474942
121,2483599
122,2524127
123,2572988
124,2536557
125,2586203
126,2623293
127,2624419
128,2685706
129,2679313
130,2666468
131,2669392
132,2749973
133,2811195
134,2758895
135,2785438
136,2843126
137,2834109
138,2853393
139,2907513
140,2924329
141,3011138
142,2947543
143,3021238
144,3019600
145,3033037
146,3050987
147,3154141
148,3078641
149,3157306
150,3179403
151,3167221
152,3184938
153,3242043
154,3258612
155,3278898
156,3329941
157,3417361
158,3329754
159,3395718
160,3343487
161,3401443
162,3517232
163,3462264
164,3486265
165,3496927
166,3531894
167,3563016
168,3557702
169,3632120
170,3592005
171,3650470
172,3652199
173,3687541
174,3692012
175,3754252
176,3805338
177,3857517
178,3829227
179,3791000
180,3844049
181,4010606
182,3914681
183,3876947
184,3972302
185,3938590
186,4046111
187,3972521
188,4116164
189,4088550
190,4063827
191,4096854
192,4121957
193,4140488
194,4274398
195,4213390
196,4267862
197,4284533
198,4231106
199,4351036
