elements*1000,comparisons
1,32320
2,28518
3,139110
4,875571
5,434473
6,840322
7,1501962
8,2402427
9,3500222
10,3069353
11,3822478
12,4298414
13,5837188
14,6586876
15,9368657
16,9332592
17,10604241
18,10193910
19,9613156
20,10842520
21,14942461
22,20765185
23,16179396
24,21398145
25,24695025
26,21365778
27,22117435
28,24187853
29,31328792
30,27256337
31,33707984
32,35791365
33,30752388
34,41406657
35,38098389
36,40927195
37,49649211
38,41792695
39,50535001
40,52712435
41,56635018
42,60079748
43,55463987
44,53970496
45,67436896
46,74959454
47,72716793
48,80319067
49,76894602
50,101883667
51,101951772
52,98332579
53,87488401
54,102495734
55,107833561
56,98303443
57,87794832
58,105276670
59,139129660
60,101476270
61,122543718
62,153497585
63,138695818
64,123363745
65,140436045
66,137731332
67,154218857
68,153432538
69,161907783
70,142721381
71,169250101
72,153574305
73,192226242
74,149765451
75,193342972
76,183540023
77,189425500
78,175816925
79,216077110
80,216108413
81,224775385
82,242053758
83,194495554
84,208679459
85,243367904
86,224721641
87,252099535
88,253610636
89,249337582
90,238136853
91,245960826
92,296170296
93,299421717
94,300112237
95,303763435
96,322940460
97,300683659
98,329043070
99,312928853
100,338031166
