elements*1000,avg comparisons
1,34709
2,122284
3,268078
4,565382
5,933145
6,1256194
7,1611622
8,1972572
9,2466588
10,3680708
11,4085353
12,5078631
13,5000112
14,6012984
15,8005610
16,8475914
17,10231645
18,11552466
19,11787622
20,14419899
21,15132316
22,17360592
23,17571943
24,18978974
25,20411296
26,21457229
27,23751400
28,25907484
29,26471240
30,29258702
31,31179412
32,33147562
33,36273402
34,37103527
35,40440253
36,43039671
37,46187699
38,46444424
39,47290296
40,52597295
41,54717105
42,57855422
43,63891301
44,63884409
45,65197425
46,69539423
47,72208156
48,74985464
49,79616953
50,82738669
51,88941902
52,93819279
53,96921576
54,94510953
55,100228411
56,102198684
57,104078775
58,113152427
59,114110505
60,119631901
61,129270062
62,124331613
63,129244107
64,131861300
65,136233323
66,142452713
67,146888741
68,154238861
69,149619312
70,167340076
71,157957707
72,167153466
73,175936898
74,175279375
