i*1000,comparisons
1,10424
2,23864
3,43029
4,52579
5,69021
6,94148
7,100870
8,123773
9,132753
10,154966
11,173463
12,186183
13,208261
14,220460
15,247188
16,265628
17,285626
18,299953
19,313904
20,325039
21,345007
22,376675
23,398956
24,402052
25,424728
26,470243
27,468476
28,511875
29,540261
30,500586
31,545158
32,566838
33,593618
34,602178
35,642393
36,642118
37,692642
38,761189
39,745104
40,760151
41,835978
42,778431
43,800562
44,769797
45,860918
46,891162
47,832198
48,897072
49,914311
50,913346
51,941677
52,977467
53,970833
54,1070174
55,1050727
56,1008557
57,1163299
58,1094690
59,1249538
60,1109362
61,1162210
62,1214132
63,1234038
64,1194919
65,1248476
66,1301882
67,1273586
68,1380403
69,1430271
70,1411205
71,1404378
72,1379510
73,1383937
74,1482541
75,1437743
76,1532229
77,1507579
78,1552562
79,1563287
80,1574207
81,1615129
82,1536121
83,1643906
84,1576817
85,1633329
86,1729449
87,1764140
88,1724411
89,1698595
90,1932885
91,1875124
92,1859400
93,1839538
94,1808377
95,1891627
96,1902645
97,2165693
98,1982148
99,2051618
100,2080834
101,2081225
102,2042981
103,2191385
104,2104327
105,2140219
106,2239810
107,2129034
108,2378672
109,2244838
110,2237158
111,2158812
112,2278384
113,2435727
114,2230530
115,2333832
116,2278895
117,2375478
118,2463243
119,2363141
120,2459901
121,2470335
122,2736756
123,2500702
124,2493373
125,2593166
126,2591567
127,2497807
128,2617851
129,2752514
130,2720227
131,2663439
132,2811278
133,2834623
134,3032440
135,2777933
136,2846798
137,2803646
138,2800606
139,2805276
140,2928648
141,2896762
142,3120833
143,2969333
144,2933893
145,3072830
146,3021837
147,3036759
148,3114099
149,3140012
150,3370009
151,3248506
152,3116728
153,3110393
154,3426058
155,3241941
156,3277685
157,3379233
158,3524496
159,3411595
160,3365343
161,3313106
162,3385296
163,3384301
164,3432645
165,3350213
166,3501561
167,3517921
168,3608291
169,3722397
170,3949812
171,3670961
172,3708713
173,3750960
174,3795810
175,3573766
176,3822006
177,3649063
178,3686933
179,3925067
180,3958192
181,3936622
182,3872534
183,3818994
184,4034210
