elements*1000,avg comparisons
1,8696
2,19490
3,31153
4,43283
5,55868
6,68680
7,81781
8,94942
9,108549
10,122235
11,136029
12,149926
13,164181
14,178350
15,192643
16,206969
17,221625
18,236033
19,250721
20,265401
21,280256
22,295252
23,310166
24,325402
25,340379
26,355723
27,370960
28,386323
29,401530
30,416816
31,432340
32,447650
33,463371
34,478883
35,494624
36,510282
37,525948
38,541608
39,557724
40,573293
41,589048
42,604991
43,620935
44,637060
45,653105
46,669103
47,685247
48,701373
49,717399
50,733668
51,749950
52,766356
53,782575
54,798662
55,815252
56,831392
57,847907
58,864319
59,880671
60,896811
61,913797
62,929982
63,946939
64,963229
65,979803
66,996174
67,1013033
68,1029847
69,1046205
70,1063118
71,1079648
72,1096229
73,1112987
74,1130308
75,1146676
76,1163533
77,1180081
78,1196974
79,1214163
80,1231376
81,1248029
82,1264546
83,1281607
84,1298806
85,1315551
86,1332330
87,1349754
88,1366663
89,1383579
90,1401034
91,1418282
92,1435051
93,1452540
94,1469492
95,1486559
96,1503509
97,1520937
98,1538236
99,1555284
100,1572228
101,1590015
102,1607188
103,1624538
104,1641590
105,1659267
106,1676052
107,1693993
108,1711210
109,1728543
110,1746083
111,1763158
112,1781248
113,1798474
114,1816046
115,1833315
116,1851001
117,1867971
118,1886047
119,1903063
120,1920549
121,1938075
122,1955512
123,1973759
124,1990995
125,2008567
126,2025936
127,2043504
128,2060886
129,2079568
130,2096839
131,2114347
132,2132009
133,2149553
134,2167166
135,2184978
136,2202396
137,2220667
138,2238038
139,2255591
140,2273598
141,2291843
142,2309134
143,2327073
144,2344445
145,2362566
146,2379939
147,2397917
148,2416238
149,2433695
150,2451689
151,2469606
152,2487335
153,2505218
154,2523394
155,2540790
156,2559302
157,2577056
158,2594853
159,2612638
160,2630540
161,2648763
162,2666820
163,2684343
164,2702467
165,2720486
166,2738821
167,2756429
168,2774321
169,2792438
170,2810135
171,2828869
172,2846207
173,2864859
174,2882501
175,2900705
176,2919242
177,2936471
178,2955008
179,2973089
180,2991555
181,3009339
182,3027490
183,3045991
184,3063619
185,3081938
186,3100678
187,3118410
188,3136583
189,3154841
190,3172745
191,3190743
192,3209455
193,3227513
194,3245895
195,3263943
196,3282266
197,3300633
198,3318633
199,3336998
