elements*1000,avg comparisons
1,10708
2,24543
3,39154
4,56477
5,69500
6,88442
7,105318
8,118503
9,135501
10,157848
11,171473
12,192161
13,215233
14,226339
15,241775
16,263668
17,286073
18,303216
19,320565
20,338445
21,359061
22,378924
23,399021
24,418559
25,434691
26,453178
27,477578
28,496675
29,511739
30,526707
31,548265
32,570891
33,586780
34,611496
35,637068
36,651144
37,666357
38,690764
39,711945
40,727566
41,768866
42,783336
43,790795
44,809837
45,827094
46,859049
47,854620
48,888760
49,918068
50,941073
51,961427
52,974120
53,989326
54,1017547
55,1064753
56,1072436
57,1069268
58,1119512
59,1136237
60,1130127
61,1149913
62,1195169
63,1220821
64,1222616
65,1271325
66,1299669
67,1288214
68,1315443
69,1355065
70,1376624
71,1375477
72,1381606
73,1436764
74,1438486
75,1447414
76,1503307
77,1492337
78,1534628
79,1538206
80,1588704
81,1591280
82,1649894
83,1642730
84,1668034
85,1696694
86,1700562
87,1765031
88,1741435
89,1762746
90,1821713
91,1840410
92,1837397
93,1873901
94,1887106
95,1898062
96,1918448
97,1958244
98,1955656
99,1996249
100,2020076
101,2077637
102,2081025
103,2054738
104,2115880
105,2083654
106,2136027
107,2158607
108,2163021
109,2276856
110,2228141
111,2234090
112,2275225
113,2308535
114,2279015
115,2347874
116,2402789
117,2353759
118,2411232
119,2430430
120,2480768
121,2493014
122,2498602
123,2570549
124,2511555
125,2570026
126,2598316
127,2612501
128,2669122
129,2688681
130,2661895
131,2698444
132,2738874
133,2789654
134,2788078
135,2815608
136,2860405
137,2813093
138,2886193
139,2907187
140,2888244
141,2932004
142,2968010
143,3003170
144,3036903
145,3021938
146,3040670
147,3054184
148,3080207
149,3145472
150,3128026
151,3216607
152,3200300
153,3206872
154,3226596
155,3257458
156,3294930
157,3344125
158,3299911
159,3368773
160,3374076
161,3426352
162,3424792
163,3473026
164,3448246
165,3431324
166,3474053
167,3543981
168,3582745
169,3589045
170,3611023
171,3622279
172,3672921
173,3706471
174,3703154
175,3736856
176,3711645
177,3708181
178,3761556
179,3802651
180,3856881
181,3898469
182,3832110
183,3944110
184,3949147
185,3966408
186,3957807
187,4052615
188,4088559
189,4127144
190,4130443
191,4100086
192,4109936
193,4167500
194,4174358
195,4274289
196,4209354
197,4186521
198,4225010
199,4230639
200,4283110
201,4329835
202,4332704
203,4322578
204,4430132
205,4388089
206,4416319
207,4480156
208,4525875
209,4496986
210,4575879
211,4583663
212,4596814
213,4596428
214,4644044
215,4665265
216,4698486
217,4686807
218,4720202
219,4785573
220,4699162
221,4811031
222,4815313
223,4930473
224,4836965
225,4868468
226,4994477
227,4953359
228,4995635
229,5064305
230,5032493
231,5018558
232,5091245
233,5145314
234,5172468
235,5063750
236,5122116
237,5170530
238,5262583
239,5234427
240,5295250
241,5308710
242,5307362
243,5346466
244,5357783
245,5409319
246,5463041
247,5417947
248,5573189
249,5421152
250,5583278
251,5514941
252,5648134
253,5552056
254,5597122
255,5603161
256,5674946
257,5671879
258,5661454
259,5733132
260,5670929
261,5801590
262,5764086
263,5810077
264,5792870
265,5888757
266,6100244
267,5854880
268,6005781
269,5959582
270,6014387
271,6103096
272,5955139
273,6000277
274,6079318
275,6050017
276,6007873
277,6196309
278,6238800
279,6247172
280,6271562
281,6355955
282,6304527
283,6282990
284,6281261
285,6311673
286,6456849
287,6345002
288,6442502
289,6459096
290,6494788
291,6533227
292,6549922
293,6687166
294,6638803
295,6604348
296,6654723
297,6712354
298,6721010
299,6590590
300,6676605
301,6856170
302,6783169
303,6692781
304,6862028
305,6787584
306,6862863
307,6898366
308,6882251
309,6880459
310,6939123
311,7020107
312,6958434
313,6979614
314,7001933
315,7015319
316,7215066
317,7292710
318,7042719
319,7190140
320,7275736
321,7275865
