elements*1000,avg comparisons
1,10749
2,24459
3,39082
4,54530
5,73223
6,89253
7,105840
8,122052
9,139503
10,156243
11,172494
12,191121
13,219633
14,231493
15,241499
16,261001
17,285941
18,299183
19,321228
20,338291
21,364521
22,375367
23,400031
24,411813
25,431921
26,458894
27,488689
28,491633
29,524863
30,538154
31,547855
32,571519
33,585958
34,609531
35,640377
36,656067
37,665010
38,702001
39,720184
40,726017
41,755063
42,802591
43,783001
44,806221
45,847644
46,854196
47,864545
48,893578
49,917086
50,937439
51,944206
52,972062
53,1000541
54,1022751
55,1024576
56,1056047
57,1072854
58,1092375
59,1138270
60,1161133
61,1176405
62,1206531
63,1232244
64,1221023
65,1243477
66,1258181
67,1286378
68,1299458
69,1341485
70,1375668
71,1412286
72,1390665
73,1440529
74,1442452
75,1477379
76,1482921
77,1495862
78,1565873
79,1537477
80,1556143
81,1594385
82,1619220
83,1679414
84,1672851
85,1677625
86,1713600
87,1726472
88,1762966
89,1785850
90,1776907
91,1832417
92,1815009
93,1872496
94,1916421
95,1886526
96,1937451
97,1941978
98,2000442
99,1982365
100,2021589
101,2004592
102,2066770
103,2048479
104,2107562
105,2117343
106,2149989
107,2187523
108,2184507
109,2201988
110,2261991
111,2264598
112,2290453
113,2303195
114,2345923
115,2347051
116,2389390
117,2391390
118,2398335
119,2396935
120,2454241
121,2471210
122,2510871
123,2536643
124,2569915
125,2567684
126,2581749
127,2633338
128,2641083
129,2721672
130,2726292
131,2704358
132,2725755
133,2769089
134,2804321
135,2837469
136,2843620
137,2826011
138,2890704
139,2937968
140,2913394
141,2957688
142,2983735
143,2982291
144,3060382
145,3090547
146,3081895
147,3121235
148,3104659
149,3109249
150,3129894
151,3229148
152,3235208
153,3226006
154,3233202
155,3204095
156,3286266
157,3266028
158,3410573
159,3338290
160,3418678
161,3416355
162,3437567
163,3434145
164,3503492
165,3568234
166,3544559
167,3531366
168,3577810
169,3597470
170,3541317
171,3649501
172,3640285
173,3708745
174,3682147
175,3743664
176,3756190
177,3806813
178,3792718
179,3838864
180,3864341
181,3869115
182,3872388
183,3853151
184,3897483
185,4006192
186,3989237
187,3978780
188,4047870
189,4087018
190,4080764
191,4080184
192,4116290
193,4077729
194,4119100
195,4244609
196,4188793
197,4281513
198,4208352
199,4357550
200,4339280
201,4336805
202,4447081
203,4377038
204,4462955
205,4426995
206,4532058
207,4495637
208,4541749
209,4549664
210,4581768
211,4625034
212,4556479
213,4659117
214,4666533
215,4820606
216,4733183
217,4769939
218,4834663
219,4791610
220,4853707
221,4871299
222,4785556
223,4928285
224,4966820
225,4896717
226,4942276
227,4930929
228,4994443
229,5021727
230,5177771
231,5120735
232,5139552
233,5121417
234,5126149
235,5136306
236,5253290
237,5211753
238,5282054
239,5283637
240,5334639
241,5341299
242,5451482
243,5347106
244,5416785
245,5338708
246,5439010
247,5502272
248,5524842
249,5536885
250,5554684
251,5660668
252,5589997
253,5559292
254,5610900
255,5666702
256,5673848
257,5687085
258,5704060
259,5774445
260,5768206
261,5803424
262,5782234
263,5870491
264,5901711
265,5974104
266,5943481
267,6050521
268,6058111
269,6059005
270,5995264
271,5986453
272,6029052
273,6217833
274,6110094
275,6035441
276,6132932
277,6273561
278,6282214
279,6288751
280,6310325
281,6400771
282,6456244
283,6401112
284,6401541
285,6484458
286,6440465
287,6366688
288,6505599
289,6503589
290,6487534
291,6581301
292,6564486
293,6587726
294,6676155
295,6727382
296,6707428
297,6670253
298,6740588
299,6758756
300,6736369
301,6801812
302,6755635
303,6764599
304,6918046
305,7027145
306,6959358
307,7104158
308,6899860
309,7011394
310,7040925
311,7103898
312,7117878
313,7094715
314,7044422
315,7204183
316,7134861
317,7189681
318,7130233
319,7241834
320,7218676
321,7320622
322,7274322
323,7304496
324,7441632
325,7350115
326,7336216
327,7482045
328,7423237
329,7618587
330,7656708
331,7573072
332,7563969
333,7716730
334,7743101
335,7785577
336,7793152
337,7673480
338,7764305
339,7758536
340,7672045
341,7708149
342,7820370
343,7979105
344,7879481
345,7936067
346,8009360
347,8000901
348,7924336
349,7950990
350,8138175
351,8084350
352,8063306
353,8083100
354,8259188
355,8101594
356,8205179
357,8186782
358,8270103
359,8401341
360,8337188
361,8303839
362,8438363
363,8542771
364,8392624
365,8548890
366,8463421
367,8515015
368,8443207
369,8577028
370,8466010
371,8572653
372,8690299
373,8625533
374,8765387
375,8724486
376,8921081
377,8697800
378,8748944
379,8726869
380,8895621
381,9061176
382,8824671
383,8917811
384,8888484
385,8927433
386,8824914
387,9028710
388,8958942
389,9014465
390,9021511
391,9133405
392,9248296
393,9169961
394,9276607
395,9220876
396,9261880
397,9183248
398,9237114
399,9258667
400,9416738
401,9330382
402,9424587
403,9406480
404,9458660
405,9364325
406,9570828
407,9483958
408,9525968
409,9651988
410,9702664
411,9635322
412,9647257
413,9662249
414,9749627
415,9751534
416,9748645
417,9771594
418,9749272
419,9801422
420,9765983
421,9988774
422,9985276
423,9689064
424,9967387
425,10057157
426,10032949
427,9987248
428,10149601
429,10160968
430,10187633
431,10169283
432,10140261
433,10066144
434,10198066
435,10272386
436,10224329
437,10254483
438,10261145
439,10396498
440,10368015
441,10489135
442,10464052
443,10489064
444,10438270
445,10575327
446,10576551
447,10560475
448,10600857
449,10648790
450,10761910
451,10668776
452,10721909
453,10679930
454,10705228
455,10687826
456,10798240
457,10807610
458,10830136
459,10851769
460,10903219
461,10923096
462,11054927
463,10923407
464,10937476
465,11072459
466,11103920
467,11186965
468,11099721
469,11115317
470,11175678
471,11243542
472,11385141
473,11265570
474,11324656
475,11415295
476,11444423
477,11293741
478,11394184
479,11520260
480,11625569
481,11442286
482,11521321
483,11570711
484,11486425
485,11573150
486,11590703
487,11695884
488,11611899
489,11559889
490,11642381
491,11915173
492,11871852
493,11889245
494,11771863
495,11834078
496,11970879
497,11976523
498,11953629
499,11941175
500,12122983
501,12110083
502,12071935
503,12208539
504,12072451
505,12142437
506,12056263
507,12355135
508,12117798
509,12250154
510,12336431
511,12285063
512,12238244
513,12329340
514,12476430
515,12391473
516,12474861
517,12362422
518,12519516
519,12541643
520,12811046
521,12475779
522,12446230
523,12544261
524,12689766
525,12854290
526,12674627
527,12688349
528,12892117
529,12747247
530,12717235
531,13126374
532,12677273
533,12940467
534,13015659
535,13005367
536,12874167
537,13237731
538,13085221
539,12992396
540,13074736
541,12972181
542,13241429
543,13168503
544,13004064
545,13370039
546,13351737
547,13198653
548,13160321
549,13223425
550,13407884
551,13428717
552,13608098
553,13379140
554,13521661
555,13355147
556,13547075
557,13681119
558,13442414
559,13738001
560,13611309
561,13667434
562,13705220
563,13830630
564,13916421
565,13834830
